seq,t_offset_s,query_type,params,status,source,latency_ms,error
156,79.66805626699988,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""huachipato""}",200,cache,3.513182999995479,
157,79.87995988800049,Q5,{},200,cache,4.273049000403262,
158,80.95655269600047,Q1,"{""team"": ""palestino""}",200,cache,4.716030000054161,
159,81.18869999100025,Q4,"{""date_from"": ""2026-05-03"", ""date_to"": ""2026-05-09""}",200,scraper,14289.001037000162,
160,82.15255872299986,Q5,{},200,cache,5.6565239992778515,
161,82.43176735500037,Q1,"{""team"": ""depconce""}",200,cache,4.236034000314248,
162,82.65148231800049,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udeconce""}",200,cache,4.06361899968033,
163,82.9447170250005,Q5,{},200,cache,3.6744960007126792,
164,84.15872865900019,Q5,{},200,cache,4.456534999917494,
165,84.68941621700014,Q5,{},200,cache,4.513255000347272,
166,85.90684495200003,Q2,"{""team"": ""nublense""}",200,scraper,8934.584468999674,
167,86.23029574300017,Q2,"{""team"": ""ucatolica""}",200,cache,5.349029999706545,
168,86.86761976399976,Q4,"{""date_from"": ""2026-05-17"", ""date_to"": ""2026-05-23""}",200,scraper,11111.581613999988,
169,86.88797065200015,Q1,"{""team"": ""ucatolica""}",200,cache,5.713088999982574,
170,87.85588580500007,Q5,{},200,cache,4.65577300019504,
171,88.3572653250003,Q1,"{""team"": ""limache""}",200,cache,4.548224999780359,
172,88.51319430500007,Q2,"{""team"": ""udeconce""}",200,scraper,11677.974166999775,
173,88.95878706399981,Q5,{},200,cache,6.237227000383427,
174,89.07641600900024,Q1,"{""team"": ""ucatolica""}",200,cache,4.346523000094749,
175,89.1180198359998,Q4,"{""date_from"": ""2026-06-28"", ""date_to"": ""2026-07-04""}",200,scraper,14342.759838999882,
176,89.21100083800047,Q2,"{""team"": ""everton""}",200,cache,5.954816999292234,
177,89.6577546489998,Q3,"{""team_a"": ""coquimbo"", ""team_b"": ""depconce""}",200,scraper,12840.533941999638,
178,89.79095441800018,Q5,{},200,cache,5.328692000148294,
179,90.03975900600017,Q5,{},200,cache,4.5796349995725905,
180,90.33452842400038,Q1,"{""team"": ""huachipato""}",200,cache,3.5013619999517687,
181,90.64254464900023,Q5,{},200,cache,4.396385000291048,
182,91.48674975199992,Q1,"{""team"": ""laserena""}",200,cache,4.873797000072955,
183,92.45984133000002,Q5,{},200,cache,5.166593000467401,
184,92.5663419170005,Q4,"{""date_from"": ""2026-07-12"", ""date_to"": ""2026-07-18""}",200,scraper,15744.28810200061,
185,92.78850199600038,Q1,"{""team"": ""palestino""}",200,cache,4.7980219997043605,
186,93.00671991000036,Q3,"{""team_a"": ""limache"", ""team_b"": ""nublense""}",200,scraper,15066.77519599998,
187,93.96890823400008,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""udechile""}",200,scraper,14251.560503000292,
188,96.05449925199991,Q1,"{""team"": ""limache""}",200,cache,4.8821379996297765,
189,96.80638045100022,Q3,"{""team_a"": ""laserena"", ""team_b"": ""ulacalera""}",200,scraper,13766.704124999706,
190,96.84245841200027,Q2,"{""team"": ""limache""}",200,cache,6.539009000334772,
191,97.33336172300005,Q2,"{""team"": ""colocolo""}",200,cache,6.016316999193805,
192,97.55186552800023,Q2,"{""team"": ""colocolo""}",200,cache,5.341977000171028,
193,97.80777812999986,Q5,{},200,cache,5.093277000014496,
194,98.36273981700015,Q2,"{""team"": ""audax""}",200,cache,3.6083230006624945,
195,98.76004336500046,Q4,"{""date_from"": ""2026-06-21"", ""date_to"": ""2026-06-27""}",200,cache,4.859884999859787,
196,98.76612238899997,Q5,{},200,cache,4.062046999933955,
197,98.79749739199997,Q5,{},200,cache,5.074975999377784,
198,98.86587623099967,Q2,"{""team"": ""limache""}",200,cache,4.651614999602316,
199,99.01701102199968,Q5,{},200,cache,3.9115310000852332,
200,100.05780028299978,Q2,"{""team"": ""nublense""}",200,cache,5.878825999388937,
